[20:08:18] [5029e935|INFO] program_start | provider=gemini model=gemini-2.5-flash workdir=/Users/yzl/Desktop/ws/agent_test
[20:08:19] [5029e935|INFO] mcp_tools_registered | 0 tools from MCP
[20:08:19] [5029e935|INFO] hooks_loaded | /Users/yzl/Desktop/ws/agent_test/.hooks.json (3 hooks)
[20:08:19] [5029e935|DEBUG] hook:SessionStart | {"additionalContext": "Hook 系统已激活，危险命令将被拦截"}
[20:08:19] [5029e935|INFO] hook_session_msg | Hook 系统已激活，危险命令将被拦截
[20:08:31] [5029e935|INFO] agent_step | step=1/40 msgs=2
[20:08:31] [5029e935|DEBUG] system_prompt_built | chars=3330 sections=3
[20:08:33] [5029e935|INFO] tool_call | name=todo args={"items": []}
[20:08:33] [5029e935|INFO] tool_result | name=todo chars=5 ms=1
[20:08:33] [5029e935|INFO] agent_step | step=2/40 msgs=4
[20:08:33] [5029e935|DEBUG] system_prompt_built | chars=3330 sections=3
[20:10:19] [bd2801b4|INFO] program_start | provider=gemini model=gemini-2.5-flash workdir=/Users/yzl/Desktop/ws/agent_test
[20:10:19] [bd2801b4|INFO] mcp_tools_registered | 0 tools from MCP
[20:10:50] [50707aed|INFO] program_start | provider=gemini model=gemini-2.5-flash workdir=/Users/yzl/Desktop/ws/agent_test
[20:10:51] [50707aed|INFO] mcp_tools_registered | 0 tools from MCP
[20:10:51] [50707aed|WARN] hooks_config_error | [Errno 21] Is a directory: '/Users/yzl/Desktop/ws/agent_test'
[20:10:57] [50707aed|INFO] agent_step | step=1/40 msgs=1
[20:10:57] [50707aed|DEBUG] system_prompt_built | chars=3330 sections=3
[20:15:18] [20ff13d8|INFO] program_start | provider=gemini model=gemini-2.5-flash workdir=/Users/yzl/Desktop/ws/agent_test
[20:15:19] [20ff13d8|INFO] mcp_tools_registered | 0 tools from MCP
[20:15:19] [20ff13d8|WARN] hooks_config_error | [Errno 21] Is a directory: '/Users/yzl/Desktop/ws/agent_test'
[20:20:35] [9be380ca|INFO] program_start | provider=gemini model=gemini-2.5-flash workdir=/Users/yzl/Desktop/ws/agent_test
[20:20:35] [9be380ca|INFO] mcp_tools_registered | 0 tools from MCP
[20:20:35] [9be380ca|WARN] hooks_config_error | [Errno 21] Is a directory: '/Users/yzl/Desktop/ws/agent_test'
[20:21:44] [20a32afc|INFO] program_start | provider=gemini model=gemini-2.5-flash workdir=/Users/yzl/Desktop/ws/agent_test
[20:21:44] [20a32afc|INFO] mcp_tools_registered | 0 tools from MCP
[20:21:44] [20a32afc|WARN] hooks_config_error | [Errno 21] Is a directory: '/Users/yzl/Desktop/ws/agent_test'
[20:23:23] [4c8ff2f2|INFO] program_start | provider=gemini model=gemini-2.5-flash workdir=/Users/yzl/Desktop/ws/agent_test
[20:23:24] [4c8ff2f2|INFO] mcp_tools_registered | 0 tools from MCP
[20:23:24] [4c8ff2f2|WARN] hooks_config_error | [Errno 21] Is a directory: '/Users/yzl/Desktop/ws/agent_test'
[20:23:48] [3dcbf1d5|INFO] program_start | provider=gemini model=gemini-2.5-flash workdir=/Users/yzl/Desktop/ws/agent_test
[20:23:49] [3dcbf1d5|INFO] mcp_tools_registered | 0 tools from MCP
[20:23:49] [3dcbf1d5|WARN] hooks_config_error | [Errno 21] Is a directory: '/Users/yzl/Desktop/ws/agent_test'
[20:26:04] [e57b7915|INFO] program_start | provider=gemini model=gemini-2.5-flash workdir=/Users/yzl/Desktop/ws/agent_test
[20:26:05] [e57b7915|INFO] mcp_tools_registered | 0 tools from MCP
[20:26:05] [e57b7915|INFO] hooks_loaded | /Users/yzl/Desktop/ws/agent_test/coding_agent/.hooks/.hooks.json (3 hooks)
[20:26:05] [e57b7915|DEBUG] hook:SessionStart | {"additionalContext": "Hook 系统已激活，危险命令将被拦截"}
[20:26:05] [e57b7915|INFO] hook_session_msg | Hook 系统已激活，危险命令将被拦截
[20:29:33] [427d478d|INFO] program_start | provider=gemini model=gemini-2.5-flash workdir=/Users/yzl/Desktop/ws/agent_test
[20:29:34] [427d478d|INFO] mcp_tools_registered | 0 tools from MCP
[20:29:34] [427d478d|INFO] hooks_loaded | /Users/yzl/Desktop/ws/agent_test/coding_agent/.hooks/.hooks.json (3 hooks)
[20:29:34] [427d478d|DEBUG] hook:SessionStart | {"additionalContext": "Hook 系统已激活，危险命令将被拦截"}
[20:29:34] [427d478d|INFO] hook_session_msg | Hook 系统已激活，危险命令将被拦截
[20:36:40] [2f82673c|INFO] program_start | provider=gemini model=gemini-2.5-flash workdir=/Users/yzl/Desktop/ws/agent_test
[20:36:40] [2f82673c|INFO] mcp_tools_registered | 0 tools from MCP
[20:36:40] [2f82673c|INFO] hooks_loaded | /Users/yzl/Desktop/ws/agent_test/coding_agent/.hooks/.hooks.json (3 hooks)
